Step | Stack                                             | Input               | Action
-----|---------------------------------------------------|---------------------|-------------------------
1    | $ E                                               | ( ( id + id ) $     | Gen E -> T E'
2    | $ E' T                                            | ( ( id + id ) $     | Gen T -> F T'
3    | $ E' T' F                                         | ( ( id + id ) $     | Gen F -> ( E )
4    | $ E' T' ) E (                                     | ( id + id ) $       | Match (
5    | $ E' T' ) E                                       | ( id + id ) $       | Gen E -> T E'
6    | $ E' T' ) E' T                                    | ( id + id ) $       | Gen T -> F T'
7    | $ E' T' ) E' T' F                                 | ( id + id ) $       | Gen F -> ( E )
8    | $ E' T' ) E' T' ) E (                             | id + id ) $         | Match (
9    | $ E' T' ) E' T' ) E                               | id + id ) $         | Gen E -> T E'
10   | $ E' T' ) E' T' ) E' T                            | id + id ) $         | Gen T -> F T'
11   | $ E' T' ) E' T' ) E' T' F                         | id + id ) $         | Gen F -> id
12   | $ E' T' ) E' T' ) E' T' id                        | + id ) $            | Match id
13   | $ E' T' ) E' T' ) E' T'                           | + id ) $            | Gen T' -> epsilon
14   | $ E' T' ) E' T' ) E'                              | + id ) $            | Gen E' -> + T E'
15   | $ E' T' ) E' T' ) E' T +                          | id ) $              | Match +
16   | $ E' T' ) E' T' ) E' T                            | id ) $              | Gen T -> F T'
17   | $ E' T' ) E' T' ) E' T' F                         | id ) $              | Gen F -> id
18   | $ E' T' ) E' T' ) E' T' id                        | ) $                 | Match id
19   | $ E' T' ) E' T' ) E' T'                           | ) $                 | Gen T' -> epsilon
20   | $ E' T' ) E' T' ) E'                              | ) $                 | Gen E' -> epsilon
21   | $ E' T' ) E' T' )                                 | $                   | Match )
22   | $ E' T' ) E' T'                                   | $                   | Gen T' -> epsilon
23   | $ E' T' ) E'                                      | $                   | Gen E' -> epsilon
24   | $ E' T' )                                         |                     | ERROR: Unexpected '$'	Expected: )	Skipping '$'

